When required data will be repartitioned into - 6779 partitions
+------------+-----+
|partition_id|count|
|         858|   88|
|         859|   53|
|         862|  106|
|         863|   52|
|         864|   54|
|         865|   99|
|         866|   57|
|         870|   89|
|         872|  100|
|         874|   56|
|         875|  102|
|         876|  117|
|         877|  204|
|         878|  101|
|         879|  104|
|         880|   55|
|         881|   36|
|         882|   56|
|         884|  108|
|         885|  103|
|         886|   61|
|         887|   50|
|         889|  112|
|         890|  202|
|         892|   34|
|         898|  117|
|         900|   92|
|         901|   56|
|         902|  104|
|         903|  103|
|         907|   49|
|         908|  119|
|         909|   51|
|         911|  153|
|         912|   91|
|         914|   96|
|         915|  159|
|         917|  143|
|         919|   57|
|         921|  102|
|         922|   92|
|         925|  148|
|         926|  103|
|         928|  147|
|         929|  105|
|         931|   53|
|         932|   46|
|         933|  219|
|         935|   48|
|         937|  147|
|         938|   54|
|         942|  147|
|         943|  153|
|         945|   50|
|         946|   95|
|         948|   50|
|         949|  115|
|         950|  126|
|         952|   96|
|         953|   55|
|         954|   43|
|         956|  100|
|         957|  131|
|         960|   33|
|         962|   56|
|         963|  183|
|         965|  169|
|         966|   46|
|         967|   94|
|         968|  103|
|         969|   42|
|         970|   47|
|         972|  141|
|         973|   95|
|         975|  144|
|         976|   56|
|         977|   64|
|         979|   45|
|         980|   82|
|         981|   55|
|         982|   48|
|         984|   88|
|         987|   64|
|         988|  103|
|         990|   54|
|         991|  116|
|         992|   36|
|         993|  106|
|         994|  101|
|         995|   60|
|         997|   55|
|         998|   51|
|        1000|  100|
|        1001|  102|
|        1002|   47|
|        1004|  119|
|        1006|  103|
|        1007|   58|
|        1011|  157|
|        1012|   54|
|        1014|   54|
|        1015|   47|
|        1019|   47|
|        1020|   46|
|        1021|   51|
|        1024|   52|
|        1025|  105|
|        1026|  102|
|        1027|  114|
|        1028|   55|
|        1030|   41|
|        1031|   51|
|        1032|   49|
|        1033|   47|
|        1034|   60|
|        1037|   99|
|        1038|   35|
|        1039|   51|
|        1040|   95|
|        1042|   39|
|        1044|   50|
|        1045|   58|
|        1046|  104|
|        1048|  129|
|        1049|   60|
|        1050|   43|
|        1051|   81|
|        1052|   39|
|        1054|   52|
|        1056|  205|
|        1058|  103|
|        1059|   49|
|        1061|  101|
|        1062|  101|
|        1063|   95|
|        1065|  124|
|        1066|   95|
|        1067|   90|
|        1068|   45|
|        1070|   60|
|        1072|   42|
|        1073|   56|
|        1075|   55|
|        1076|   45|
|        1079|   90|
|        1080|   61|
|        1081|   50|
|        1082|   63|
|        1085|  113|
|        1086|   49|
|        1087|   44|
|        1088|  109|
|        1089|   56|
|        1090|   51|
|        1092|   94|
|        1093|  109|
|        1097|   50|
|        1099|  146|
|        1100|   52|
|        1101|   98|
|        1103|   95|
|        1105|  195|
|        1110|   53|
|        1111|  146|
|        1113|  147|
|        1115|   35|
|        1116|   51|
|        1117|  102|
|        1119|   94|
|        1120|   96|
|        1121|   56|
|        1122|   60|
|        1123|   55|
|        1125|   41|
|        1129|  190|
|        1133|   46|
|        1134|   56|
|        1135|   92|
|        1139|   53|
|        1140|  163|
|        1141|   51|
|        1143|   59|
|        1145|  111|
|        1146|   94|
|        1147|   56|
|        1148|  102|
|        1149|   61|
|        1150|   53|
|        1152|   62|
|        1153|   63|
|        1154|   94|
|        1156|   89|
|        1157|   34|
|        1160|  102|
|        1161|  131|
|        1162|  159|
|        1165|   55|
|        1166|  100|
|        1167|   41|
|        1168|  151|
|        1169|   55|
|        1170|   46|
|        1171|   50|
|        1174|   50|
|        1175|  110|
|        1176|   49|
|        1179|  102|
|        1183|  101|
|        1184|   97|
|        1186|   39|
|        1187|   52|
|        1188|  135|
|        1189|  118|
|        1190|  109|
|        1191|   51|
|        1192|   48|
|        1193|   94|
|        1195|  101|
|        1198|   89|
|        1199|  163|
|        1200|   49|
|        1201|   50|
|        1202|   50|
|        1203|   44|
|        1204|   55|
|        1205|   36|
|        1207|   46|
|        1208|   53|
|        1209|   49|
|        1210|  124|
|        1211|   53|
|        1212|   49|
|        1213|  105|
|        1214|   51|
|        1216|   49|
|        1218|   59|
|        1219|   45|
|        1220|   65|
|        1222|   56|
|        1223|   47|
|        1224|  166|
|        1225|  100|
|        1226|   41|
|        1227|   50|
|        1229|   95|
|        1230|   47|
|        1231|   38|
|        1233|  154|
|        1234|   96|
|        1235|   51|
|        1236|   54|
|        1238|   55|
|        1241|   99|
|        1247|   53|
|        1248|   98|
|        1249|  131|
|        1252|   89|
|        1254|   59|
|        1255|   87|
|        1256|  158|
|        1257|   54|
|        1259|   45|
|        1260|   59|
|        1262|   94|
|        1263|  206|
|        1264|   54|
|        1265|   94|
|        1266|   37|
|        1267|   53|
|        1269|   54|
|        1270|  134|
|        1272|   96|
|        1273|   61|
|        1275|  150|
|        1277|   44|
|        1279|   42|
|        1280|   48|
|        1284|  100|
|        1285|  134|
|        1286|   41|
|        1290|   53|
|        1291|   51|
|        1294|  107|
|        1295|  153|
|        1297|  110|
|        1298|   51|
|        1299|   90|
|        1300|  111|
|        1301|   91|
|        1302|   58|
|        1303|   92|
|        1306|   92|
|        1307|   41|
|        1309|   61|
|        1311|   81|
|        1312|   56|
|        1314|   51|
|        1315|  160|
|        1316|  109|
|        1317|   58|
|        1319|   46|
|        1320|   51|
|        1321|  103|
|        1322|   51|
|        1324|   52|
|        1329|   48|
|        1332|   47|
|        1337|  146|
|        1338|  152|
|        1339|   58|
|        1340|   60|
|        1341|  139|
|        1343|  173|
|        1344|  101|
|        1345|   40|
|        1346|   46|
|        1347|  161|
|        1348|  104|
|        1349|  124|
|        1350|   50|
|        1351|   61|
|        1352|  140|
|        1361|   95|
|        1362|   65|
|        1363|   64|
|        1364|   39|
|        1366|   46|
|        1367|   86|
|        1368|  207|
|        1369|  139|
|        1370|   44|
|        1371|   56|
|        1372|   54|
|        1373|   56|
|        1375|   89|
|        1376|   45|
|        1378|   45|
|        1379|   41|
|        1380|   54|
|        1382|   42|
|        1384|   48|
|        1385|   51|
|        1386|   53|
|        1388|   51|
|        1389|   45|
|        1390|  155|
|        1391|   43|
|        1392|   51|
|        1393|   54|
|        1394|   59|
|        1395|   45|
|        1397|  175|
|        1398|   51|
|        1400|   59|
|        1402|   43|
|        1403|   43|
|        1404|  108|
|        1407|   48|
|        1409|   96|
|        1411|   43|
|        1413|   65|
|        1414|   46|
|        1416|   61|
|        1417|   50|
|        1418|  107|
|        1419|   53|
|        1420|  109|
|        1421|   39|
|        1426|   49|
|        1429|   52|
|        1431|   45|
|        1432|   44|
|        1433|   38|
|        1436|   52|
|        1437|  101|
|        1438|  103|
|        1439|   99|
|        1440|  114|
|        1441|  100|
|        1442|   59|
|        1443|  101|
|        1444|   46|
|        1446|   43|
|        1447|   46|
|        1448|  138|
|        1449|   96|
|        1450|  102|
|        1451|   60|
|        1452|   42|
|        1453|  157|
|        1455|   56|
|        1456|  154|
|        1457|   94|
|        1459|   52|
|        1460|   39|
|        1461|   62|
|        1462|   58|
|        1464|   59|
|        1465|  153|
|        1466|   48|
|        1469|  108|
|        1470|   46|
|        1472|   42|
|        1473|  102|
|        1474|   56|
|        1475|   99|
|        1476|   48|
|        1478|  117|
|        1479|   52|
|        1481|   44|
|        1482|   39|
|        1483|   40|
|        1485|   44|
|        1488|   50|
|        1489|   43|
|        1491|  108|
|        1494|  189|
|        1495|  100|
|        1496|  203|
|        1498|  141|
|        1501|   51|
|        1504|   54|
|        1505|   46|
|        1506|   45|
|        1507|  154|
|        1508|   54|
|        1509|   46|
|        1511|   88|
|        1513|   66|
|        1514|   31|
|        1516|   38|
|        1517|  181|
|        1519|  149|
|        1520|   45|
|        1522|   64|
|        1523|   47|
|        1524|   83|
|        1525|   48|
|        1526|   59|
|        1527|   92|
|        1528|   46|
|        1529|  107|
|        1533|   99|
|        1534|  249|
|        1535|   92|
|        1537|   42|
|        1538|   40|
|        1539|   49|
|        1540|   43|
|        1541|  166|
|        1543|   47|
|        1544|   90|
|        1545|   55|
|        1548|   60|
|        1549|   55|
|        1551|   62|
|        1552|   47|
|        1553|  102|
|        1555|  107|
|        1556|   98|
|        1557|  106|
|        1558|  116|
|        1559|   66|
|        1560|   35|
|        1561|  121|
|        1562|  103|
|        1563|   60|
|        1565|   45|
|        1566|   44|
|        1568|   43|
|        1570|   57|
|        1571|   90|
|        1572|   41|
|        1573|   55|
|        1576|  138|
|        1578|  117|
|        1579|   60|
|        1580|  111|
|        1582|  101|
|        1583|   64|
|        1587|   54|
|        1589|  112|
|        1590|   53|
|        1592|  155|
|        1594|   53|
|        1595|   55|
|        1596|   61|
|        1597|   93|
|        1598|  139|
|        1600|   45|
|        1601|   54|
|        1603|   53|
|        1604|   61|
|        1605|   51|
|        1607|   73|
|        1608|  100|
|        1609|  109|
|        1610|  103|
|        1611|   56|
|        1612|   55|
|        1613|  111|
|        1615|   52|
|        1616|   50|
|        1618|  141|
|        1622|  108|
|        1623|   44|
|        1624|   51|
|        1625|  119|
|        1627|   39|
|        1629|   88|
|        1630|  189|
|        1632|   56|
|        1634|   51|
|        1636|   45|
|        1637|   50|
|        1638|   97|
|        1639|  211|
|        1644|   93|
|        1646|   53|
|        1647|   46|
|        1648|   90|
|        1649|   49|
|        1650|   55|
|        1651|   59|
|        1653|  101|
|        1656|   54|
|        1657|   43|
|        1658|   54|
|        1659|   52|
|        1660|  150|
|        1661|  102|
|        1663|  103|
|        1665|  124|
|        1667|  135|
|        1668|   45|
|        1670|   66|
|        1671|   77|
|        1672|  158|
|        1675|   95|
|        1676|   44|
|        1677|   97|
|        1678|   91|
|        1680|  100|
|        1685|   46|
|        1686|   61|
|        1688|   85|
|        1689|  102|
|        1690|   37|
|        1691|   47|
|        1692|  217|
|        1694|   67|
|        1700|   54|
|        1701|   50|
|        1702|   42|
|        1704|  113|
|        1709|  116|
|        1710|   40|
|        1712|   55|
|        1715|   60|
|        1717|  105|
|        1718|  272|
|        1721|   50|
|        1722|  150|
|        1723|   60|
|        1724|  104|
|        1725|   46|
|        1726|   56|
|        1727|   44|
|        1728|  163|
|        1729|  224|
|        1731|   90|
|        1732|   93|
|        1734|   42|
|        1735|   44|
|        1736|   84|
|        1738|   40|
|        1739|   45|
|        1740|   55|
|        1742|   97|
|        1743|   44|
|        1745|   95|
|        1746|   43|
|        1750|   43|
|        1751|  159|
|        1753|  106|
|        1754|   92|
|        1755|  150|
|        1756|   92|
|        1757|   45|
|        1758|  114|
|        1759|  103|
|        1760|  101|
|        1762|   50|
|        1764|   71|
|        1765|   94|
|        1766|   59|
|        1768|  155|
|        1769|   46|
|        1770|   51|
|        1772|   60|
|        1773|   88|
|        1774|  116|
|        1775|  113|
|        1776|  104|
|        1779|   56|
|        1782|   42|
|        1783|  271|
|        1785|   95|
|        1786|   53|
|        1787|  105|
|        1788|   45|
|        1789|   56|
|        1790|   54|
|        1791|  220|
|        1792|   44|
|        1795|   56|
|        1796|   45|
|        1797|   59|
|        1798|  102|
|        1799|  100|
|        1801|   50|
|        1802|  144|
|        1804|   45|
|        1805|  126|
|        1806|  103|
|        1807|  161|
|        1808|   50|
|        1810|   50|
|        1811|   63|
|        1812|   49|
|        1813|   42|
|        1815|   55|
|        1817|   53|
|        1819|   49|
|        1820|   94|
|        1821|   45|
|        1822|   55|
|        1823|   42|
|        1824|   99|
|        1825|   96|
|        1827|   93|
|        1828|  151|
|        1829|  110|
|        1830|   41|
|        1831|  192|
|        1832|   97|
|        1833|   40|
|        1834|  108|
|        1835|   41|
|        1836|   48|
|        1837|   60|
|        1838|   55|
|        1840|   45|
|        1841|   91|
|        1844|   49|
|        1845|   68|
|        1849|   47|
|        1850|   45|
|        1851|   51|
|        1852|   55|
|        1854|  104|
|        1856|   49|
|        1857|   55|
|        1858|   43|
|        1859|   38|
|        1860|   52|
|        1862|   51|
|        1863|   50|
|        1864|   49|
|        1865|   52|
|        1866|   55|
|        1867|   53|
|        1868|  115|
|        1869|   42|
|        1870|   51|
|        1871|   43|
|        1872|   95|
|        1873|   55|
|        1876|  126|
|        1879|  171|
|        1881|   41|
|        1883|   52|
|        1884|   47|
|        1885|   54|
|        1886|   91|
|        1888|   47|
|        1889|  105|
|        1893|  116|
|        1894|   55|
|        1896|  149|
|        1899|   78|
|        1902|  116|
|        1903|   45|
|        1905|   45|
|        1907|  113|
|        1909|   63|
|        1911|   92|
|        1912|  101|
|        1913|   83|
|        1914|   51|
|        1915|  111|
|        1917|  156|
|        1918|   60|
|        1919|  147|
|        1920|   43|
|        1922|   99|
|        1924|   62|
|        1926|   57|
|        1927|   54|
|        1928|   47|
|        1929|   50|
|        1930|   83|
|        1931|   43|
|        1933|   49|
|        1934|   53|
|        1935|   36|
|        1936|   49|
|        1937|   42|
|        1939|  103|
|        1940|   63|
|        1941|   51|
|        1943|   46|
|        1944|   37|
|        1948|  152|
|        1949|   65|
|        1952|   58|
|        1953|   50|
|        1954|  114|
|        1955|   62|
|        1958|   53|
|        1959|   47|
|        1960|   59|
|        1962|   53|
|        1965|   55|
|        1969|   45|
|        1970|   62|
|        1973|  105|
|        1976|   98|
|        1978|   55|
|        1979|   57|
|        1980|   39|
|        1981|   61|
|        1983|   43|
|        1984|   41|
|        1985|   97|
|        1987|   97|
|        1988|   41|
|        1997|   52|
|        1999|  111|
|        2000|   43|
|        2001|   55|
|        2002|   58|
|        2003|   48|
|        2006|  149|
|        2007|   84|
|        2008|  203|
|        2009|   51|
|        2011|   45|
|        2012|  144|
|        2013|   59|
|        2014|   48|
|        2015|   57|
|        2016|   97|
|        2017|   58|
|        2018|   47|
|        2019|   47|
|        2020|  110|
|        2022|   51|
|        2023|   59|
|        2025|   80|
|        2026|   59|
|        2029|   41|
|        2030|  146|
|        2031|   36|
|        2034|   45|
|        2036|  150|
|        2037|   47|
|        2038|  104|
|        2039|   99|
|        2040|  105|
|        2041|  104|
|        2042|   40|
|        2045|   48|
|        2047|   48|
|        2048|   51|
|        2050|   96|
|        2052|   54|
|        2053|   95|
|        2054|   54|
|        2055|   55|
|        2059|   47|
|        2063|   54|
|        2064|   42|
|        2067|   52|
|        2068|  161|
|        2069|  161|
|        2070|   56|
|        2071|   86|
|        2072|   28|
|        2073|   46|
|        2074|  106|
|        2077|  202|
|        2078|   42|
|        2081|   58|
|        2084|   47|
|        2085|  139|
|        2086|   99|
|        2087|   45|
|        2090|   94|
|        2091|   44|
|        2093|   47|
|        2094|   51|
|        2095|   56|
|        2096|   54|
|        2098|   52|
|        2101|   53|
|        2102|   36|
|        2103|   60|
|        2104|   53|
|        2106|   56|
|        2111|   52|
|        2112|   67|
|        2114|   98|
|        2115|   56|
|        2118|   50|
|        2119|   90|
|        2120|  149|
|        2121|   93|
|        2122|  137|
|        2124|   91|
|        2125|  206|
|        2126|  211|
|        2128|  100|
|        2130|   88|
|        2132|  105|
|        2134|   58|
|        2135|   47|
|        2136|  108|
|        2137|   97|
|        2138|   43|
|        2139|   56|
|        2140|   97|
|        2141|   48|
|        2142|   55|
|        2143|   65|
|        2146|   46|
|        2147|  165|
|        2148|  120|
|        2150|   55|
|        2151|   92|
|        2153|   91|
|        2154|  147|
|        2155|   46|
|        2157|   56|
|        2158|  105|
|        2159|   52|
|        2160|  160|
|        2162|   89|
|        2163|   50|
|        2164|   48|
|        2167|   53|
|        2168|  102|
|        2169|  101|
|        2170|   48|
|        2172|   93|
|        2173|   55|
|        2174|   96|
|        2175|   80|
|        2176|   46|
|        2177|   59|
|        2178|   44|
|        2180|   54|
|        2182|   52|
|        2184|   95|
|        2186|  107|
|        2189|   57|
|        2190|   42|
|        2191|  103|
|        2194|  170|
|        2195|   92|
|        2196|   44|
|        2197|   99|
|        2199|   42|
|        2200|   98|
|        2201|   50|
|        2203|   57|
|        2204|   45|
|        2205|  104|
|        2206|   40|
|        2207|  101|
|        2208|   53|
|        2211|   41|
|        2213|  145|
|        2215|   64|
|        2217|  147|
|        2220|   46|
|        2222|  160|
|        2223|   89|
|        2224|  156|
|        2226|   99|
|        2231|  118|
|        2232|   59|
|        2233|   43|
|        2234|   57|
|        2236|   40|
|        2239|   44|
|        2240|  151|
|        2242|  149|
|        2246|  145|
|        2249|   64|
|        2251|   47|
|        2253|   94|
|        2254|   51|
|        2255|   42|
|        2257|   56|
|        2258|  157|
|        2259|  218|
|        2260|   96|
|        2262|  103|
|        2263|   94|
|        2264|   44|
|        2265|   51|
|        2266|  122|
|        2267|   63|
|        2268|   65|
|        2269|   47|
|        2272|   99|
|        2273|  101|
|        2274|   57|
|        2276|   50|
|        2277|  154|
|        2278|   99|
|        2279|  133|
|        2280|   93|
|        2281|   57|
|        2282|   49|
|        2283|  109|
|        2284|   54|
|        2285|  198|
|        2286|  151|
|        2289|   52|
|        2291|  140|
|        2292|  100|
|        2293|   55|
|        2295|  107|
|        2296|   91|
|        2298|   45|
|        2299|  150|
|        2300|   61|
|        2301|   91|
|        2303|  116|
|        2307|   53|
|        2309|   86|
|        2312|   44|
|        2313|   52|
|        2314|   52|
